Title,Developer,Publisher,MVS release date,AES release date
ZuPaPa!,SNK,SNK,2001-09,N/A
Zed Blade (Operation Ragnarok),NMK,"NMK, SNK",1994-09-13,N/A
World Heroes Perfect,ADK/SNK,"ADK, SNK",1995-05-25,1995-06-30
World Heroes 2 Jet,ADK/SNK,"ADK, SNK",1994-04-26,1994-06-10
World Heroes 2,ADK,"ADK, SNK",1993-04-26,1993-06-04
World Heroes,Alpha Denshi,"Alpha Denshi, SNK",1992-07-28,1992-09-11
Windjammers (Flying Power Disc),Data East,"Data East, SNK",1994-02-17,1994-04-08
Waku Waku 7,Sunsoft,"Sunsoft, SNK",1996-11-21,1996-12-27
Voltage Fighter Gowcaizer (Chōjin Gakuen Gowcaizer),Technōs Japan Corp.,"Technōs Japan Corp., SNK",1995-09-18,1995-10-20
Viewpoint,Sammy/Aicom,"Sammy, SNK",1992-11-20,1992-12-11
Twinkle Star Sprites,ADK/SNK,"ADK, SNK",1996-11-25,1997-01-31
Top Player's Golf,SNK,SNK,1990-05-23,1991-07-01
Top Hunter: Roddy & Cathy,SNK,SNK,1994-05-18,1994-06-24
Thrash Rally,Alpha Denshi,"Alpha Denshi, SNK",1991-11-08,1991-12-20
The Ultimate 11: SNK Football Championship(SNK FOOTBALL CHAMPIONSHIP - Tokuten-ō: Honō no Libero),SNK,SNK,1996-10-16,1996-12-20
The Super Spy,SNK,SNK,1990-10-08,1991-07-01
"The Last Blade 2 (Bakumatsu Rōman Dainimaku: Gekka no Kenshi - Tsuki ni Saku Hana, Chiri Yuku Hana)",SNK,SNK,1998-11-25,1999-01-28
The Last Blade (Bakumatsu Rōman: Gekka no Kenshi / The Last Soldier),SNK,SNK,1997-12-05,1998-01-29
The King of Fighters 2003,SNK Playmore,SNK Playmore,2003-12-12,2004-03-18
The King of Fighters 2002: Challenge to Ultimate Battle,Eolith,"Playmore, Sun Amusement",2002-10-10,2002-12-19
The King of Fighters 2001,Eolith,"SNK, BrezzaSoft/Sun Amusement",2001-11-15,2002-03-14
The King of Fighters 2000,SNK,SNK,2000-07-26,2000-12-21
The King of Fighters '99 (Millennium Battle),SNK,SNK,1999-07-22,1999-09-23
The King of Fighters '98 (Dream Match Never Ends),SNK,SNK,1998-07-23,1998-09-28
The King of Fighters '97,SNK,SNK,1997-07-28,1997-09-25
The King of Fighters '96,SNK,SNK,1996-07-30,1996-09-27
The King of Fighters '95,SNK,SNK,1995-07-25,1995-09-01
The King of Fighters '94,SNK,SNK,1994-08-25,1994-10-01
The Irritating Maze (Ucchan Nanchan no Honō no Challenger: Ultra Denryū IraIra Bō),Saurus/SNK,"Saurus, SNK",1997-08-25,TBA
Tecmo World Soccer '96,Tecmo,"Tecmo, SNK",1996,TBA
Super Sidekicks 3: The Next Glory (Tokuten-ō 3: Eikō-e no Michi),SNK,SNK,1995-03-07,1995-04-07
Super Sidekicks 2: The World Championship(Tokuten-ō 2: Real Fight Football),SNK,SNK,1994-04-19,1994-05-27
Super Sidekicks (Tokuten-ō),SNK,SNK,1992-12-14,1993-02-19
Super Dodge Ball (Kunio no Nekketsu Tōkyū Densetsu),Technōs Japan Corp.,"Technōs Japan Corp., SNK",1996,TBA
Super Baseball 2020 (2020 Super Baseball),SNK/Pallas,SNK,1991-09-20,1991-10-25
Strikers 1945 Plus,Psikyo,"Psikyo, SNK",1999-12-24,N/A
Street Hoop (Street Slam / Dunk Dream),Data East,"Data East, SNK",1994-12-08,1994-12-09
Stakes Winner 2,Saurus,"Saurus, SNK",1996-09-24,1996-12-13
Stakes Winner (Stakes Winner: GI Kinzen Seihae no Michi),Saurus,"Saurus, SNK",1995-09-27,1995-10-27
Spinmaster (Miracle Adventure),Data East,"Data East, SNK",1993-12-16,1994-02-18
Soccer Brawl,SNK,SNK,1992-02-14,1992-03-13
SNK vs. Capcom: SVC Chaos,Playmore/Capcom,"Playmore (AG), SNK Playmore",2003-07-24,2003-11-13
Shōgi no Tatsujin: Master of Syougi,ADK/SNK,"ADK, SNK",1995-09-28,1995-10-13
Shock Troopers: 2nd Squad,Saurus,"Saurus, SNK",1998-11-06,1999-06-24
Shock Troopers,Saurus,"Saurus, SNK",1997-11-11,TBA
Sengoku 3 (Sengoku Legends 2001),Noise Factory,SNK,2001-07-18,2001-10-25
Sengoku 2 (Sengoku Denshō 2),SNK,SNK,1993-02-18,1993-04-09
Sengoku (Sengoku Denshō),SNK,SNK,1991-02-12,1991-07-01
Savage Reign (Fūun Mokushiroku: Kakutō Sōsei),SNK,SNK,1995-03-10,1995-04-25
Samurai Shodown V Special (Samurai Spirits Zero Special),Yuki Enterprise,SNK Playmore,2004-04-22,2004-07-15
Samurai Shodown V (Samurai Spirits Zero),Yuki Enterprise,SNK Playmore,2003-10-10,2003-12-11
Samurai Shodown IV: Amakusa's Revenge(Samurai Spirits: Amakusa Kōrin),SNK,SNK,1996-10-25,1996-11-29
Samurai Shodown III (Samurai Spirits: Zankurō Musōken / Fighters Swords),SNK,SNK,1995-11-15,1995-12-01
Samurai Shodown II (Shin Samurai Spirits: Haohmaru Jigokuhen),SNK,SNK,1994-10-28,1994-12-02
Samurai Shodown (Samurai Spirits),SNK,SNK,1993-07-07,1993-08-11
Robo Army,SNK,SNK,1991-10-30,1991-12-20
Riding Hero,SNK,SNK,1990-07-24,1991-07-01
Real Bout Fatal Fury Special (Real Bout Garō Densetsu Special),SNK,SNK,1997-01-28,1997-02-28
Real Bout Fatal Fury 2: The Newcomers (Real Bout Garō Densetsu 2: THE NEWCOMERS),SNK,SNK,1998-03-20,1998-04-29
Real Bout Fatal Fury (REAL BOUT Garō Densetsu),SNK,SNK,1995-12-21,1996-01-26
Ragnagard (Shin-Oh-Ken),Saurus/System Vision,"Saurus, SNK",1996-06-13,1996-07-26
Rage of the Dragons,Evoga Entertainment,"Playmore, BrezzaSoft",2002-06-06,2002-09-26
Quiz Meitantei Neo & Geo: Quiz Daisōsasen Part 2,SNK,SNK,1992-04-24,TBA
Quiz King of Fighters,Saurus/SNK,"Saurus, SNK",1995-02-01,1995-03-10
Quiz Daisōsa Sen: The Last Count Down,SNK,SNK,1991-08-30,TBA
Puzzled (Joy Joy Kid),SNK,SNK,1990-11-20,1991-07-01
Puzzle de Pon! R,Visco (Taito licensed),"Visco, SNK",1997,N/A
Puzzle De Pon!,Visco (Taito licensed),"Visco, SNK",1995-11-28,N/A
Puzzle Bobble 2 (Bust-a-Move Again),Taito/SNK,"Taito, SNK",1999,N/A
Puzzle Bobble (Bust-a-Move),Taito,"Taito, SNK",1994-12-21,N/A
